excuse	[iks'kju:z]	v.原谅
torch	[tɒ:tʃ]	n.手电筒
voice	[vɒis]	n. (说话的) 声音
parrot	['pærət]	n.鹦鹉
exercise book		练习本
customer		n.顾客
forget	[fə'get]	(fogot, fogotten) v.忘记
manager	['mænidʒə]	n.经理
serve	[sз:v]	v.照应，服务，接待
counter	['kauntə]	n.柜台
recognize	['rekəgnaiz]	v.认识
road	[rəʊd]	n.路
during	['djuərıŋ]	prep.在......期间
trip	[trip]	n.旅行
travel	['trævl]	v.旅行
offer	['ɒfə]	v.提供
job	[dʒɒb]	n.工作
guess	[ges]	v.猜
grow	[grəʊ]	(grew, grown) v.长，让......生长
beard	[bıəd]	n. (下巴上的) 胡子，络腮胡子
kitten	['kitn]	n.小猫
water	['wɒ:tə]	v.浇水
terribly	['terəbli]	ad.非常
dry	[drai]	a.干燥的，干的
nuisance	['nju:sns]	n.讨厌的东西或人
mean	[mi:n]	(meant, meant) v.意味着，意思是
surprise	[sə'praiz]	n.惊奇，意外的事
immediately	[i'mi:djətli]	ad.立即地
famous	['feiməs]	a.著名的
actress	['æktris]	n.女演员
at least		至少
actor	['æktə]	n.男演员
read	[ri:d]	(read, read) v.通过阅读得知
wave	[weiv]	v.招手
track	[træk]	n.跑道
mile	[mail]	n.英里
overtake	['əʊvə'teik]	(overtook, overtaken) v.从后面超越，超车
speed limit		限速
dream	[dri:m]	v.做梦，思想不集中
sign	[sain]	n.标记，牌子
driving licence		驾驶执照
charge	[tʃa:dʒ]	v.罚款
darling	['da:lıŋ]	n.亲爱的(用作表示称呼)
Egypt		n.埃及
abroad	[ə'brɒ:d]	ad.国外
worry	['wʌri]	v.担忧
reporter	[ri'pɒ:tə]	n.记者
sensational	[sen'seiʃənl]	a.爆炸性的，耸人听闻的
mink coat		貂皮大衣
future	['fju:tʃə]	a.未来的
get married		结婚
hotel	[həʊ'tel]	n.饭店
latest	['leitist]	a.最新的
introduce	['intrə'dju:s]	v.介绍
football	['futbɒ:l]	n.足球
pool	[pu:l]	n.赌注
win	[win]	(won, won) v.赢
world	[wз:ld]	n.世界
poor	[pɔ:r]	n.赌注
depend	[di'pend]	v.依靠
extra	['ekstrə]	a.额外的
overseas	['əʊvə'si:z]	a.海外的，国外的
engineering	['endʒi'nıərıŋ]	n.工程
company	['kʌmpəni]	n.公司
line	[lain]	n.线路
excited		a.兴奋的
get on		登上
middle-aged		a.中年的
opposite	['ɒpəzit]	prep.在......对面
curiously	['kjuərıəsli]	ad.好奇地
funny	['fʌni]	a.可笑的，滑稽的
powder	['paudə]	n.香粉
compact	['kɒmpækt, kəm'pækt]	n.带镜的化妆盒
kindly	['kaindli]	ad.和蔼地
ugly	['ʌgli]	a.丑陋的
amused	[ə'mju:zd]	a.有趣的
smile	[smail]	v.微笑
embarrassed		a.尴尬的，窘迫的
worried	['wʌrid]	a.担心，担忧
regularly	['regjuləli]	ad.经常地，定期地
surround	[sə'raund]	v.包围
wood	[wud]	n.树林
beauty spot		风景点
hundred	['hʌndrid]	n.百
city	['siti]	n.城市
through	[ðru:]	prep.穿过
visitor	['vizitə]	n.参观者，游客，来访者
tidy	['taidi]	a.整齐的
litter	['litə]	n.杂乱的东西
litter basket		废物筐
place	[pleis]	v.放
throw	[ðrəʊ]	(threw, thrown) v.扔，抛
rubbish	['rʌbiʃ]	n.垃圾
count	[kaunt]	v.数，点
cover	['kʌvə]	v.覆盖
piece	[pi:s]	n.碎片
tyre	['taıə]	n.轮胎
rusty	['rʌsti]	a.生锈的
among	[ə'mʌŋ]	prep.在......之间
prosecute	['prɒsikju:t]	v.依法处置
